Time,Signal
3110,208
3115,199
3120,246
3125,174
3130,-37
3135,-101
3140,-35
3145,121
3150,114
3155,36
3160,-50
3165,-45
3170,9
3175,54
3180,110
3185,201
3190,111
3195,227
3200,257
3205,362
3210,425
3215,366
3220,420
3225,271
3230,291
3235,296
3240,300
3245,271
3250,165
3255,145
3260,-12
3265,66
3270,107
3275,18
3280,-3
3285,-55
3290,-99
3295,-149
3300,-197
3305,-172
3310,-177
3315,-215
3320,-293
3325,-214
3330,-141
3335,-96
3340,-42
3345,-185
3350,-221
3355,-59
3360,-102
3365,-31
3370,-258
3375,-183
3380,-160
3385,-255
3390,-249
3395,-352
3400,-301
3405,-367
3410,-415
3415,-432
3420,-405
3425,-525
3430,-401
3435,-373
3440,-483
3445,-404
3450,-636
3455,-473
3460,-409
3465,-448
3470,-340
3475,-500
3480,-448
3485,-239
3490,-200
3495,-273
3500,-249
3505,-391
3510,-138
3515,80
3520,-166
3525,-241
3530,-368
3535,-246
3540,-183
3545,-292
3550,-388
3555,-370
3560,-300
3565,-273
3570,-328
3575,-421
3580,-387
3585,-155
3590,-248
3595,-252
3600,-320
3605,-261
3610,-165
3615,-265
3620,-126
3625,-263
3630,-221
3635,-159
3640,-46
3645,-52
3650,-153
3655,-103
3660,-159
3665,-179
3670,-244
3675,-303
3680,-291
3685,-368
3690,-400
3695,-350
3700,-400
3705,-506
3710,-527
3715,-393
3720,-367
3725,-330
3730,-316
3735,-323
3740,-352
3745,-296
3750,-78
3755,-199
3760,-315
3765,-421
3770,-316
3775,-257
3780,-321
3785,-338
3790,-365
3795,-568
3800,-611
3805,-596
3810,-730
3815,-736
3820,-815
3825,-718
3830,-824
3835,-823
3840,-804
3845,-795
3850,-721
3855,-754
3860,-559
3865,-599
3870,-579
3875,-611
3880,-604
3885,-484
3890,-563
3895,-524
3900,-497
3905,-500
3910,-599
3915,-570
3920,-610
3925,-510
3930,-542
3935,-648
3940,-688
3945,-665
3950,-619
3955,-711
3960,-731
3965,-674
3970,-762
3975,-645
3980,-818
3985,-644
3990,-511
3995,-669
4000,-614
4005,-492
4010,-233
4015,17
4020,155
4025,279
4030,399
4035,586
4040,737
4045,746
4050,871
4055,1041
4060,1029
4065,931
4070,1118
4075,1156
4080,1237
4085,1121
4090,1155
4095,1236
4100,1171
4105,1286
4110,1196
4115,1415
4120,1473
4125,1486
4130,1472
4135,1594
4140,1636
4145,1783
4150,1818
4155,1839
4160,1922
4165,1819
4170,1816
4175,1968
4180,2115
4185,2085
4190,1898
4195,1811
4200,1793
4205,1813
4210,1749
4215,1649
4220,1536
4225,1477
4230,1590
4235,1622
4240,1641
4245,1500
4250,1446
4255,1378
4260,1517
4265,1417
4270,1363
4275,1293
4280,1352
4285,1403
4290,1363
4295,1384
4300,1299
4305,1384
4310,1438
4315,1370
4320,1389
4325,1431
4330,1480
4335,1492
4340,1477
4345,1495
4350,1473
4355,1458
4360,1502
4365,1414
4370,1485
4375,1543
4380,1473
4385,1356
4390,1419
4395,1481
4400,1412
4405,1480
4410,1505
4415,1570
4420,1613
4425,1584
4430,1730
4435,1641
4440,1631
4445,1685
4450,1669
4455,1695
4460,1624
4465,1502
4470,1558
4475,1458
4480,1584
4485,1537
4490,1321
4495,1615
4500,1602
4505,1589
4510,1738
4515,1887
4520,1993
4525,1888
4530,2049
4535,2237
4540,2322
4545,2353
4550,2386
4555,2581
4560,2619
4565,2673
4570,2656
4575,2739
4580,2729
4585,2709
4590,2704
4595,2615
4600,2721
4605,2692
4610,2629
4615,2518
4620,2450
4625,2360
4630,2356
4635,2394
4640,2319
4645,2234
4650,2091
4655,2231
4660,2205
4665,2152
4670,2098
4675,2179
4680,2147
4685,2289
4690,2335
4695,2276
4700,2311
4705,2287
4710,2284
4715,2238
4720,2324
4725,2278
4730,2252
4735,2233
4740,2106
4745,2043
4750,2137
4755,1957
4760,1916
4765,1918
4770,1848
4775,1834
4780,1817
4785,1909
4790,1848
4795,1984
4800,1906
4805,1943
4810,1796
4815,1909
4820,1771
4825,1978
4830,2214
4835,2428
4840,2692
4845,2879
4850,3167
4855,3498
4860,3707
4865,3845
4870,3822
4875,4152
4880,4296
4885,4468
4890,4440
4895,4546
4900,4610
4905,4645
4910,4848
4915,4969
4920,5012
4925,5178
4930,5305
4935,5196
4940,5290
4945,5480
4950,5371
4955,5662
4960,5679
4965,5538
4970,5581
4975,5586
4980,5516
4985,5495
4990,5483
4995,5448
5000,5372
5005,5306
5010,5407
5015,5429
5020,5179
5025,5177
5030,5104
5035,5021
5040,4967
5045,5166
5050,5012
5055,4999
5060,4929
5065,4933
5070,4945
5075,4889
5080,4841
5085,4944
5090,4816
5095,4876
5100,4819
5105,4666
5110,4678
5115,4560
5120,4453
5125,4325
5130,4184
5135,4108
5140,3944
5145,3918
5150,3762
5155,3682
5160,3558
5165,3467
5170,3477
5175,3386
5180,3341
5185,3321
5190,3317
5195,3373
5200,3251
5205,3293
5210,3253
5215,3291
5220,3335
5225,3448
5230,3285
5235,3300
5240,3226
5245,3043
5250,3014
5255,2996
5260,2937
5265,2927
5270,2880
5275,2910
5280,2675
5285,2658
5290,2786
5295,2811
5300,2802
5305,2743
5310,2763
5315,2821
5320,2866
5325,2917
5330,2896
5335,2900
5340,2950
5345,2923
5350,2964
5355,2885
5360,2848
5365,2902
5370,2802
5375,2760
5380,2805
5385,2714
5390,2811
5395,2771
5400,2598
5405,2630
5410,2493
5415,2389
5420,2367
5425,2336
5430,2424
5435,2385
5440,2449
5445,2434
5450,2475
5455,2625
5460,2662
5465,2764
5470,2830
5475,2765
5480,2781
5485,2728
5490,2760
5495,2725
5500,2598
5505,2473
5510,2452
5515,2416
5520,2265
5525,2218
5530,2353
5535,2399
5540,2277
5545,2363
5550,2271
5555,2293
5560,2297
5565,2370
5570,2302
5575,2426
5580,2461
5585,2426
5590,2370
5595,2265
5600,2176
5605,2150
5610,2274
5615,2238
5620,2126
5625,2185
5630,2209
5635,2274
5640,2315
5645,2404
5650,2393
5655,2384
5660,2376
5665,2409
5670,2404
5675,2333
5680,2397
5685,2427
5690,2236
5695,2234
5700,2169
5705,2220
5710,2130
5715,2089
5720,2058
5725,2212
5730,2146
5735,2167
5740,2203
5745,2233
5750,2208
5755,2164
5760,2252
5765,2229
5770,2118
5775,2242
5780,2267
5785,2250
5790,2257
5795,2237
5800,2329
5805,2232
5810,2206
5815,2267
5820,2251
5825,2206
5830,2115
5835,2100
5840,2124
5845,2043
5850,2086
5855,2043
5860,2029
5865,2052
5870,2028
5875,2031
5880,2018
5885,2003
5890,1944
5895,1843
5900,1816
5905,1671
5910,1657
5915,1816
5920,1879
5925,1913
5930,1801
5935,1830
5940,1958
5945,1891
5950,1963
5955,2046
5960,1991
5965,2014
5970,2051
5975,2070
5980,1878
5985,1893
5990,1927
5995,1835
6000,1850
6005,1870
6010,1818
6015,1921
6020,1881
6025,1733
6030,1776
6035,1797
6040,1811
6045,1769
6050,1826
6055,1854
6060,1856
6065,1854
6070,1892
6075,1885
6080,1960
6085,1961
6090,1984
6095,1853
6100,1972
6105,2081
6110,1983
6115,1986
6120,1953
6125,1948
6130,1847
6135,1823
6140,1777
6145,1759
6150,1880
6155,1831
6160,1848
6165,1859
6170,1812
6175,1829
6180,1883
6185,1906
6190,1962
6195,1896
6200,1898
6205,2062
6210,1991
6215,1952
6220,1889
6225,1910
6230,1828
6235,1763
6240,1723
6245,1612
6250,1695
6255,1722
6260,1749
6265,1715
6270,1714
6275,1760
6280,1798
6285,1863
6290,1870
6295,1829
6300,1914
6305,1814
6310,1914
6315,1996
6320,1986
6325,1929
6330,2096
6335,2082
6340,2003
6345,1957
6350,1937
6355,1986
6360,2056
6365,1949
6370,1897
6375,1978
6380,2024
6385,1978
6390,2061
6395,1997
6400,2041
6405,2025
6410,1995
6415,2016
6420,2006
6425,2080
6430,2053
6435,2030
6440,2133
6445,2116
6450,2155
6455,2184
6460,2155
6465,2158
6470,2027
6475,2029
6480,2047
6485,2046
6490,2011
6495,1981
6500,2004
6505,2092
6510,1941
6515,1926
6520,1921
6525,2073
6530,2015
6535,2014
6540,2013
6545,1967
6550,2051
6555,2058
6560,2111
6565,2115
6570,2125
6575,2128
6580,2129
6585,2194
6590,2138
6595,2106
6600,2189
6605,2040
6610,2027
6615,2052
6620,2031
6625,2009
6630,1925
6635,1863
6640,1891
6645,1813
6650,1795
6655,1798
6660,1972
6665,1957
6670,1929
6675,1890
6680,1896
6685,1933
6690,1946
6695,1961
6700,2027
6705,2104
6710,2140
6715,2233
6720,2102
6725,2090
6730,1998
6735,1846
6740,1894
6745,1688
6750,1502
6755,1483
6760,1491
6765,1381
6770,1342
6775,1362
6780,1257
6785,1312
6790,1332
6795,1273
6800,1299
6805,1292
6810,1333
6815,1398
6820,1373
6825,1295
6830,1360
6835,1413
6840,1444
6845,1552
6850,1408
6855,1347
6860,1181
6865,1237
6870,1255
6875,930
6880,828
6885,1121
6890,1168
6895,1169
6900,1074
6905,1159
6910,1525
6915,1694
6920,1881
6925,1981
6930,2103
6935,2232
6940,2504
6945,2442
6950,2513
6955,2545
6960,2754
6965,2874
6970,2854
6975,2893
6980,2910
6985,3061
6990,3009
6995,2924
7000,2974
7005,2954
7010,2949
7015,2857
7020,2763
7025,2770
7030,2708
7035,2728
7040,2536
7045,2571
7050,2406
7055,2466
7060,2566
7065,2450
7070,2438
7075,2529
7080,2381
7085,2435
7090,2428
7095,2352
7100,2406
7105,2246
7110,2416
7115,2420
7120,2218
7125,2380
7130,2421
7135,2312
7140,2321
7145,2341
7150,2369
7155,2248
7160,2222
7165,2361
7170,2400
7175,2319
7180,2372
7185,2281
7190,2299
7195,2105
7200,2081
7205,2130
7210,1949
7215,1888
7220,1777
7225,1771
7230,1798
7235,1629
7240,1625
7245,1598
7250,1539
7255,1506
7260,1297
7265,1296
7270,1355
7275,1381
7280,1339
7285,1392
7290,1382
7295,1360
7300,1406
7305,1327
7310,1362
7315,1423
7320,1330
7325,1330
7330,1208
7335,1257
7340,1279
7345,1194
7350,1250
7355,1250
7360,1211
7365,1212
7370,1257
7375,1233
7380,1092
7385,1140
7390,1154
7395,1194
7400,1212
7405,1301
7410,1305
7415,1294
7420,1256
7425,1231
7430,1242
7435,1327
7440,1205
7445,1026
7450,968
7455,930
7460,886
7465,704
7470,655
7475,634
7480,630
7485,578
7490,651
7495,583
7500,607
7505,556
7510,737
7515,781
7520,823
7525,889
7530,845
7535,834
7540,786
7545,731
7550,760
7555,727
7560,668
7565,713
7570,665
7575,704
7580,610
7585,623
7590,557
7595,643
7600,668
7605,569
7610,620
7615,604
7620,547
7625,491
7630,575
7635,565
7640,514
7645,543
7650,572
7655,582
7660,574
7665,615
7670,614
7675,676
7680,617
7685,724
7690,804
7695,805
7700,713
7705,660
7710,616
7715,635
7720,664
7725,576
7730,487
7735,524
7740,521
7745,463
7750,531
7755,522
7760,529
7765,542
7770,548
7775,606
7780,587
7785,634
7790,602
7795,563
7800,535
7805,452
7810,338
7815,238
7820,229
7825,195
7830,297
7835,354
7840,366
7845,450
7850,553
7855,551
7860,514
7865,627
7870,644
7875,611
7880,576
7885,590
7890,577
7895,514
7900,561
7905,538
7910,519
7915,476
7920,435
7925,615
7930,515
7935,559
7940,638
7945,670
7950,629
7955,549
7960,671
7965,746
7970,710
7975,640
7980,647
7985,622
7990,556
7995,543
8000,595
8005,508
8010,590
8015,559
8020,623
8025,568
8030,497
8035,539
8040,531
8045,588
8050,570
8055,644
8060,603
8065,670
8070,695
8075,694
8080,683
8085,705
8090,730
