Time,Signal
0,0
40,0
80,0
120,0
160,0
200,0
240,0
280,0
320,0
360,0
400,0
440,0
480,0
520,0
560,0
600,0
640,0
680,0
720,0
760,0
800,0
840,9516
880,9516
920,9517
960,9517
1000,9518
1040,9519
1080,9519
1120,9520
1160,9521
1200,9521
1240,9522
1280,9523
1320,9523
1360,9524
1400,9524
1440,9525
1480,9526
1520,9526
1560,9526
1600,9527
1640,9527
1680,9528
1720,9528
1760,9528
1800,9528
1840,9528
1880,9528
1920,9527
1960,9527
2000,9526
2040,9526
2080,9525
2120,9524
2160,9524
2200,9523
2240,9522
2280,9522
2320,9521
2360,9521
2400,9520
2440,9520
2480,9520
2520,9519
2560,9519
2600,9519
2640,9518
2680,9518
2720,9518
2760,9518
2800,9518
2840,9517
2880,9517
2920,9517
2960,9517
3000,9517
3040,9517
3080,9517
3120,9517
3160,9517
3200,9517
3240,9516
3280,9516
3320,9516
3360,9516
3400,9516
3440,9516
3480,9516
3520,9516
3560,9515
3600,9515
3640,9515
3680,9515
3720,9516
3760,9516
3800,9516
3840,9516
3880,9517
3920,9517
3960,9518
4000,9519
4040,9519
4080,9520
4120,9520
4160,9521
4200,9521
4240,9521
4280,9522
4320,9523
4360,9523
4400,9524
4440,9524
4480,9525
4520,9525
4560,9525
4600,9526
4640,9526
4680,9526
4720,9526
4760,9526
4800,9525
4840,9525
4880,9525
4920,9524
4960,9523
5000,9523
5040,9522
5080,9522
5120,9521
5160,9521
5200,9520
5240,9520
5280,9520
5320,9519
5360,9519
5400,9519
5440,9518
5480,9518
5520,9518
5560,9518
5600,9518
5640,9518
5680,9517
5720,9517
5760,9517
5800,9517
5840,9517
5880,9517
5920,9517
5960,9517
6000,9516
6040,9517
6080,9516
6120,9516
6160,9516
6200,9516
6240,9516
6280,9516
6320,9516
6360,9516
6400,9516
6440,9516
6480,9516
6520,9516
6560,9517
6600,9517
6640,9517
6680,9517
6720,9518
6760,9518
6800,9519
6840,9520
6880,9521
6920,9521
6960,9522
7000,9522
7040,9523
7080,9524
7120,9524
7160,9525
7200,9525
7240,9526
7280,9526
7320,9526
7360,9527
7400,9527
7440,9527
7480,9527
7520,9527
7560,9527
7600,9527
7640,9526
7680,9526
7720,9525
7760,9525
7800,9524
7840,9524
7880,9523
7920,9523
7960,9522
8000,9522
8040,9521
8080,9520
8120,9520
8160,9520
8200,9520
8240,9519
8280,9519
8320,9519
8360,9519
8400,9518
8440,9518
8480,9518
8520,9518
8560,9518
8600,9518
8640,9517
8680,9517
8720,9517
8760,9517
8800,9517
8840,9517
8880,9517
8920,9517
8960,9517
9000,9517
9040,9516
9080,9517
9120,9516
9160,9517
9200,9516
9240,9516
9280,9516
9320,9516
9360,9516
9400,9516
9440,9516
9480,9516
9520,9516
9560,9516
9600,9516
9640,9516
9680,9516
9720,9516
9760,9516
9800,9516
9840,9517
9880,9517
9920,9518
9960,9518
10000,9519
10040,9519
10080,9520
10120,9521
10160,9521
10200,9522
10240,9522
10280,9523
10320,9523
10360,9524
10400,9525
10440,9525
10480,9526
10520,9526
10560,9527
10600,9527
10640,9527
10680,9528
10720,9528
10760,9528
10800,9528
10840,9527
10880,9527
10920,9527
10960,9526
11000,9526
11040,9526
11080,9525
11120,9524
11160,9524
11200,9524
11240,9523
11280,9523
11320,9523
11360,9522
11400,9522
11440,9522
11480,9521
11520,9521
11560,9521
11600,9520
11640,9520
11680,9519
11720,9519
11760,9519
11800,9519
11840,9518
11880,9518
11920,9517
11960,9517
12000,9517
12040,9517
12080,9517
12120,9517
12160,9517
12200,9517
12240,9517
12280,9517
12320,9516
12360,9516
12400,9516
12440,9516
12480,9516
12520,9516
12560,9516
12600,9516
12640,9516
12680,9516
12720,9516
12760,9516
12800,9516
12840,9516
12880,9516
12920,9516
12960,9516
13000,9516
13040,9516
13080,9516
13120,9516
13160,9516
13200,9517
13240,9517
13280,9518
13320,9518
13360,9518
13400,9519
13440,9520
13480,9520
13520,9521
13560,9521
13600,9522
13640,9522
13680,9523
13720,9523
13760,9524
13800,9524
13840,9525
13880,9525
13920,9526
13960,9526
14000,9527
14040,9527
14080,9527
14120,9527
14160,9527
14200,9527
14240,9527
14280,9526
14320,9526
14360,9525
14400,9525
14440,9524
14480,9524
14520,9524
14560,9523
14600,9523
14640,9523
14680,9522
14720,9522
14760,9522
14800,9521
14840,9521
14880,9521
14920,9520
14960,9520
15000,9520
15040,9519
15080,9519
15120,9519
15160,9519
15200,9519
15240,9519
15280,9519
15320,9519
15360,9519
15400,9518
15440,9518
15480,9518
15520,9518
15560,9518
15600,9518
15640,9517
15680,9517
15720,9517
15760,9517
15800,9517
15840,9517
15880,9517
15920,9517
15960,9517
16000,9517
16040,9516
16080,9516
16120,9516
16160,9517
16200,9517
16240,9518
16280,9518
16320,9518
16360,9519
16400,9519
16440,9520
16480,9520
16520,9521
16560,9521
16600,9521
16640,9522
16680,9522
16720,9523
16760,9523
16800,9524
16840,9524
16880,9524
16920,9525
16960,9525
17000,9526
17040,9526
17080,9526
17120,9526
17160,9526
17200,9526
17240,9526
17280,9526
17320,9525
17360,9525
17400,9524
17440,9524
17480,9524
17520,9523
17560,9522
17600,9522
17640,9522
17680,9521
17720,9521
17760,9521
17800,9520
17840,9520
17880,9519
17920,9519
17960,9519
18000,9519
18040,9518
18080,9518
18120,9518
18160,9518
18200,9518
18240,9518
18280,9518
18320,9518
18360,9517
18400,9517
18440,9517
18480,9517
18520,9517
18560,9517
18600,9517
18640,9516
18680,9516
18720,9516
18760,9516
18800,9516
18840,9516
18880,9516
18920,9516
18960,9516
19000,9516
19040,9516
19080,9516
19120,9515
19160,9515
19200,9515
19240,9515
19280,9515
19320,9516
19360,9516
19400,9517
19440,9517
19480,9517
19520,9518
19560,9519
19600,9519
19640,9520
19680,9520
19720,9521
19760,9521
19800,9522
19840,9523
19880,9523
19920,9524
19960,9524
20000,9525
20040,9525
20080,9525
20120,9525
20160,9526
20200,9526
20240,9526
20280,9526
20320,9525
20360,9525
20400,9524
20440,9523
20480,9521
20520,9520
20560,9518
20600,9516
20640,9512
20680,9510
20720,9507
20760,9504
20800,9501
20840,9496
20880,9492
20920,9488
20960,9485
21000,9482
21040,9477
21080,9473
21120,9469
21160,9466
21200,9466
21240,9466
21280,9467
21320,9469
21360,9470
21400,9470
21440,9470
21480,9470
21520,9470
21560,9469
21600,9469
21640,9469
21680,9469
21720,9469
21760,9469
21800,9469
21840,9469
21880,9470
21920,9470
21960,9470
22000,9471
22040,9471
22080,9472
22120,9472
22160,9473
22200,9474
22240,9475
22280,9475
22320,9476
22360,9477
22400,9478
22440,9479
22480,9480
22520,9481
22560,9481
22600,9482
22640,9483
22680,9484
22720,9484
22760,9485
22800,9486
22840,9486
22880,9487
22920,9487
22960,9487
23000,9487
23040,9486
23080,9486
23120,9486
23160,9485
23200,9484
23240,9483
23280,9483
23320,9482
23360,9482
23400,9481
23440,9481
23480,9480
23520,9479
23560,9479
23600,9479
23640,9479
23680,9479
23720,9478
23760,9478
23800,9477
23840,9477
23880,9477
23920,9476
23960,9476
24000,9476
24040,9475
24080,9475
24120,9475
24160,9475
24200,9474
24240,9474
24280,9473
24320,9472
24360,9471
24400,9470
24440,9470
24480,9471
24520,9471
24560,9472
24600,9473
24640,9475
24680,9477
24720,9478
24760,9480
24800,9482
24840,9484
24880,9487
24920,9490
24960,9493
25000,9496
25040,9498
25080,9501
25120,9503
25160,9505
25200,9507
25240,9509
25280,9510
25320,9511
25360,9512
25400,9514
25440,9515
25480,9517
25520,9519
25560,9521
25600,9522
25640,9523
25680,9523
25720,9522
25760,9522
25800,9522
25840,9522
25880,9523
25920,9524
25960,9525
26000,9527
26040,9528
26080,9530
26120,9531
26160,9533
26200,9534
26240,9536
26280,9538
26320,9539
26360,9540
26400,9540
26440,9541
26480,9541
26520,9541
26560,9541
26600,9541
26640,9540
26680,9538
26720,9537
26760,9535
26800,9533
26840,9531
26880,9531
26920,9530
26960,9529
27000,9527
27040,9525
27080,9524
27120,9523
27160,9522
27200,9522
27240,9520
27280,9519
27320,9518
27360,9516
27400,9515
27440,9514
27480,9513
27520,9512
27560,9511
27600,9510
27640,9510
27680,9510
27720,9509
27760,9509
27800,9509
27840,9508
27880,9508
27920,9508
27960,9507
28000,9507
28040,9506
28080,9506
28120,9506
28160,9506
28200,9506
28240,9505
28280,9505
28320,9505
28360,9504
28400,9504
28440,9504
28480,9504
28520,9504
28560,9503
28600,9503
28640,9503
28680,9503
28720,9503
28760,9503
28800,9503
28840,9503
28880,9503
28920,9503
28960,9503
29000,9504
29040,9504
29080,9504
29120,9504
29160,9505
29200,9505
29240,9506
29280,9506
29320,9507
29360,9507
29400,9507
29440,9507
29480,9507
29520,9508
29560,9508
29600,9508
29640,9508
29680,9507
29720,9507
29760,9506
29800,9506
29840,9506
29880,9506
29920,9506
29960,9506
30000,9506
30040,9506
30080,9506
30120,9506
30160,9506
30200,9507
30240,9507
30280,9507
30320,9507
30360,9507
30400,9507
30440,9507
30480,9507
30520,9507
30560,9507
30600,9508
30640,9508
30680,9508
30720,9508
30760,9508
30800,9508
30840,9508
30880,9508
30920,9508
30960,9508
31000,9509
31040,9510
31080,9511
31120,9512
31160,9512
31200,9513
31240,9513
31280,9514
31320,9514
31360,9514
31400,9515
31440,9515
31480,9517
31520,9518
31560,9518
31600,9518
31640,9518
31680,9517
31720,9516
31760,9516
31800,9515
31840,9515
31880,9514
31920,9514
31960,9515
32000,9515
32040,9515
32080,9515
32120,9515
32160,9515
32200,9515
32240,9515
32280,9515
32320,9515
32360,9515
32400,9515
32440,9515
32480,9515
32520,9515
32560,9515
32600,9515
32640,9515
32680,9515
32720,9515
32760,9515
32800,9515
32840,9515
32880,9515
32920,9515
32960,9515
33000,9515
33040,9515
33080,9515
33120,9515
33160,9515
33200,9515
33240,9515
33280,9515
33320,9515
33360,9515
33400,9515
33440,9515
33480,9515
33520,9515
33560,9515
33600,9515
33640,9514
33680,9514
33720,9514
33760,9514
33800,9514
33840,9514
33880,9515
33920,9515
33960,9516
34000,9516
34040,9517
34080,9517
34120,9518
34160,9518
34200,9519
34240,9519
34280,9520
34320,9520
34360,9521
34400,9521
34440,9521
34480,9521
34520,9521
34560,9521
34600,9521
34640,9521
34680,9521
34720,9520
34760,9520
34800,9520
34840,9520
34880,9519
34920,9519
34960,9519
35000,9519
35040,9519
35080,9519
35120,9518
35160,9518
35200,9518
35240,9518
35280,9518
35320,9518
35360,9518
35400,9517
35440,9517
35480,9517
35520,9517
35560,9517
35600,9517
35640,9517
35680,9517
35720,9517
35760,9517
35800,9517
35840,9517
35880,9517
35920,9517
35960,9517
36000,9517
36040,9517
36080,9517
36120,9517
36160,9517
36200,9517
36240,9517
36280,9517
36320,9517
36360,9516
36400,9516
36440,9516
36480,9516
36520,9516
36560,9516
36600,9516
36640,9516
36680,9516
36720,9516
36760,9516
36800,9516
36840,9516
36880,9516
36920,9517
36960,9517
37000,9517
37040,9518
37080,9518
37120,9518
37160,9519
37200,9519
37240,9520
37280,9520
37320,9520
37360,9521
37400,9521
37440,9521
37480,9522
37520,9522
37560,9522
37600,9522
37640,9522
37680,9521
37720,9521
37760,9521
37800,9521
37840,9520
37880,9520
37920,9520
37960,9520
38000,9519
38040,9519
38080,9519
38120,9519
38160,9518
38200,9518
38240,9518
38280,9518
38320,9518
38360,9517
38400,9517
38440,9517
38480,9517
38520,9517
38560,9517
38600,9517
38640,9517
38680,9517
38720,9517
38760,9517
38800,9517
38840,9517
38880,9517
38920,9517
38960,9517
39000,9517
39040,9517
39080,9517
39120,9517
39160,9517
39200,9517
39240,9517
39280,9517
39320,9517
39360,9518
39400,9518
39440,9519
39480,9519
39520,9520
39560,9521
39600,9521
39640,9522
39680,9522
39720,9522
39760,9523
39800,9523
39840,9523
39880,9523
39920,9523
39960,9522
40000,9522
40040,9522
40080,9521
40120,9521
40160,9521
40200,9520
40240,9520
40280,9520
40320,9520
40360,9519
40400,9519
40440,9519
40480,9519
40520,9519
40560,9519
40600,9519
40640,9518
40680,9518
40720,9518
40760,9518
40800,9516
40840,9514
40880,9513
40920,9512
40960,9512
41000,9512
41040,9512
41080,9511
41120,9511
41160,9511
41200,9511
41240,9512
41280,9512
41320,9512
41360,9512
41400,9512
41440,9512
41480,9512
41520,9512
41560,9512
41600,9512
41640,9513
41680,9513
41720,9513
41760,9513
41800,9513
41840,9513
41880,9513
41920,9513
41960,9513
42000,9513
42040,9513
42080,9513
42120,9514
42160,9513
42200,9513
42240,9513
42280,9513
42320,9513
42360,9513
42400,9513
42440,9513
42480,9513
42520,9513
42560,9513
42600,9513
42640,9513
42680,9514
42720,9514
42760,9515
42800,9515
42840,9515
42880,9516
42920,9517
42960,9517
43000,9518
43040,9519
43080,9520
43120,9520
43160,9521
43200,9521
43240,9522
43280,9522
43320,9523
43360,9523
43400,9523
43440,9523
43480,9523
43520,9522
43560,9522
43600,9522
43640,9521
43680,9521
43720,9521
43760,9520
43800,9520
43840,9520
43880,9519
43920,9519
43960,9519
44000,9519
44040,9518
44080,9518
44120,9518
44160,9518
44200,9517
44240,9517
44280,9517
44320,9517
44360,9517
44400,9517
44440,9517
44480,9517
44520,9517
44560,9517
44600,9517
44640,9516
44680,9516
44720,9516
44760,9516
44800,9516
44840,9516
44880,9516
44920,9516
44960,9516
45000,9516
45040,9516
45080,9516
45120,9516
45160,9516
45200,9516
45240,9516
45280,9516
45320,9516
45360,9516
45400,9516
45440,9515
45480,9515
45520,9515
45560,9515
45600,9516
45640,9516
45680,9516
45720,9517
45760,9517
45800,9517
45840,9518
45880,9518
45920,9519
45960,9520
46000,9520
46040,9520
46080,9521
46120,9521
46160,9522
46200,9522
46240,9522
46280,9522
46320,9523
46360,9523
46400,9523
46440,9523
46480,9523
46520,9522
46560,9522
46600,9522
46640,9521
46680,9521
46720,9521
46760,9520
46800,9520
46840,9520
46880,9519
46920,9519
46960,9519
47000,9518
47040,9518
47080,9518
47120,9518
47160,9518
47200,9518
47240,9517
47280,9517
47320,9517
47360,9517
47400,9517
47440,9517
47480,9517
47520,9517
47560,9517
47600,9516
47640,9516
47680,9516
47720,9516
47760,9516
47800,9516
47840,9516
47880,9516
47920,9516
47960,9516
48000,9516
48040,9516
48080,9516
48120,9516
48160,9517
48200,9517
48240,9517
48280,9518
48320,9519
48360,9519
48400,9520
48440,9520
48480,9521
48520,9521
48560,9522
48600,9523
48640,9523
48680,9524
48720,9525
48760,9525
48800,9526
48840,9527
48880,9527
48920,9528
48960,9528
49000,9528
49040,9528
49080,9527
49120,9527
49160,9527
49200,9526
49240,9526
49280,9525
49320,9524
49360,9524
49400,9523
49440,9523
49480,9522
49520,9522
49560,9521
49600,9521
49640,9521
49680,9520
49720,9520
49760,9520
49800,9520
49840,9519
49880,9519
49920,9519
49960,9519
50000,9518
50040,9518
50080,9518
50120,9518
50160,9518
50200,9518
50240,9518
50280,9517
50320,9517
