Time,Signal
133200ms,2037
133533ms,2037
133866ms,2037
134199ms,2061
134532ms,2061
134865ms,2061
135198ms,2103
135531ms,2103
135864ms,2103
136197ms,2048
136530ms,2048
136863ms,2048
137196ms,2069
137529ms,2069
137862ms,2069
138195ms,2069
138528ms,2069
138861ms,2069
139194ms,2048
139527ms,2048
139860ms,2027
140193ms,2027
140526ms,2027
140859ms,2103
141192ms,2103
141525ms,2103
141858ms,2059
142191ms,2059
142524ms,2059
142857ms,2037
143190ms,2037
143523ms,2037
143856ms,2114
144189ms,2114
144522ms,2114
144855ms,2092
145188ms,2092
145521ms,2092
145854ms,2048
146187ms,2048
146520ms,2092
146853ms,2092
147186ms,2092
147519ms,2080
147852ms,2080
148185ms,2080
148518ms,2069
148851ms,2069
149184ms,2069
149517ms,2092
149850ms,2092
150183ms,2092
150516ms,2092
150849ms,2114
151182ms,2114
151515ms,2092
151848ms,2092
152181ms,2094
152514ms,2094
152847ms,2094
153180ms,2125
153513ms,2125
153846ms,2125
154179ms,2114
154512ms,2114
154845ms,2114
155178ms,2092
155511ms,2092
155844ms,2092
156177ms,2114
156510ms,2114
156843ms,2160
157176ms,2160
157509ms,2160
157842ms,2080
158175ms,2080
158508ms,2080
158841ms,2149
159174ms,2149
159507ms,2149
159840ms,2160
160173ms,2160
160506ms,2125
160839ms,2125
161172ms,2125
161505ms,2092
161838ms,2092
162171ms,2092
162504ms,2172
162837ms,2172
163170ms,2172
163503ms,2114
163836ms,2114
164169ms,2114
164502ms,2114
164835ms,2114
165168ms,2103
165501ms,2103
165834ms,2103
166167ms,2172
166500ms,2172
166833ms,2172
167166ms,2114
167499ms,2114
167832ms,2114
168165ms,2080
168498ms,2080
168831ms,2080
169164ms,2114
169497ms,2114
169830ms,2116
170163ms,2116
170496ms,2116
170829ms,2059
171162ms,2059
171495ms,2059
171828ms,2069
172161ms,2069
172494ms,2069
172827ms,2712
173160ms,2712
173493ms,1755
173826ms,1755
174159ms,1755
174492ms,2059
174825ms,2059
175158ms,2059
175491ms,2125
175824ms,2125
176157ms,2125
176490ms,2137
176823ms,2137
177156ms,2137
177489ms,2080
177822ms,2080
178155ms,2080
178488ms,2137
178821ms,2137
179154ms,2103
179487ms,2103
179820ms,2103
180153ms,2059
180486ms,2059
180819ms,2059
181152ms,2160
181485ms,2160
181818ms,2160
182151ms,2114
182484ms,2114
182817ms,2114
183150ms,2103
183483ms,2103
183816ms,2172
184149ms,2172
184482ms,2172
184815ms,2160
185148ms,2160
185481ms,2160
185814ms,2137
186147ms,2137
186480ms,2137
186813ms,2209
187146ms,2209
187479ms,2199
187812ms,2199
188145ms,2199
188478ms,2125
188811ms,2125
189144ms,2125
189477ms,2137
189810ms,2137
190143ms,2172
190476ms,2172
190809ms,2172
191142ms,2114
191475ms,2114
191808ms,2114
192141ms,2125
192474ms,2125
192807ms,2125
193140ms,2184
193473ms,2184
193806ms,2137
194139ms,2137
194472ms,2137
194805ms,2080
195138ms,2080
195471ms,2080
195804ms,2149
196137ms,2149
196470ms,2149
196803ms,2125
197136ms,2125
197469ms,2125
197802ms,2080
198135ms,2080
198468ms,2092
198801ms,2092
199134ms,2092
199467ms,2114
199800ms,2114
200133ms,2114
200466ms,2114
200799ms,2037
201132ms,2037
201465ms,2027
201798ms,2027
202131ms,2027
202464ms,2125
202797ms,2125
203130ms,2125
203463ms,2160
203796ms,2160
204129ms,2184
204462ms,2184
204795ms,2184
205128ms,2211
205461ms,2211
205794ms,2211
206127ms,2273
206460ms,2273
206793ms,2247
207126ms,2247
207459ms,2247
207792ms,2209
208125ms,2209
208458ms,2209
208791ms,2160
209124ms,2160
209457ms,2184
209790ms,2184
210123ms,2184
210456ms,2221
210789ms,2221
211122ms,2221
211455ms,2247
211788ms,2247
212121ms,2313
212454ms,2313
212787ms,2313
213120ms,2260
213453ms,2260
213786ms,2260
214119ms,2125
214452ms,2125
214785ms,2247
215118ms,2247
215451ms,2247
215784ms,2160
216117ms,2160
216450ms,2160
216783ms,2137
217116ms,2137
217449ms,2197
217782ms,2197
218115ms,2197
218448ms,2125
218781ms,2125
219114ms,2125
219447ms,2080
219780ms,2080
220113ms,2080
220446ms,2059
220779ms,2059
221112ms,2059
221445ms,2114
221778ms,2114
222111ms,2048
222444ms,2048
222777ms,2048
223110ms,2039
223443ms,2039
223776ms,2039
224109ms,2069
224442ms,2069
224775ms,2069
225108ms,2103
225441ms,2103
225774ms,2103
226107ms,2048
226440ms,2048
226773ms,2048
227106ms,2048
227439ms,2048
227772ms,2048
228105ms,2092
228438ms,2092
228771ms,2069
229104ms,2069
229437ms,2069
229770ms,2027
230103ms,2027
230436ms,2027
230769ms,2006
231102ms,2006
231435ms,2006
231768ms,2059
232101ms,2059
232434ms,2059
232767ms,2016
233100ms,2016
233433ms,2016
233766ms,2027
234099ms,2027
234432ms,2027
234765ms,2080
235098ms,2080
235431ms,2080
235764ms,2059
236097ms,2059
236430ms,2059
236763ms,2037
237096ms,2037
237429ms,2080
237762ms,2080
238095ms,2080
238428ms,2069
238761ms,2069
239094ms,2069
239427ms,2027
239760ms,2027
240093ms,2027
240426ms,2048
240759ms,2048
241092ms,2048
241425ms,2094
241758ms,2094
242091ms,2094
242424ms,2016
242757ms,2016
243090ms,2016
243423ms,2016
243756ms,2016
244089ms,2016
244422ms,2080
244755ms,2080
245088ms,2080
245421ms,2080
245754ms,2080
246087ms,2048
246420ms,2048
246753ms,2048
247086ms,2048
247419ms,2048
247752ms,2048
248085ms,2080
248418ms,2080
248751ms,2080
249084ms,2048
249417ms,2048
249750ms,2048
250083ms,2048
250416ms,2048
250749ms,2037
251082ms,2114
251415ms,2114
251748ms,2080
252081ms,2080
252414ms,2080
252747ms,2080
253080ms,2080
253413ms,2080
253746ms,2125
254079ms,2125
254412ms,2125
254745ms,2149
